mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1						
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	2						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	3						
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	4						
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5						
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	6						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	7						
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9						
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	10						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	11						
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	12						
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	13						
2	2	4	4	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	14						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	15						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17						
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	18						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	19						
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	6			
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6	5		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	21						
3	3	8	8	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	22						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	23						
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	24						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25						0
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26						
4	4	12	12	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	27						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	28						
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	29						
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	5			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	30						
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6			
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	31						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	32						
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	33						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	34						
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	35						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	36						
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	37						
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	38						
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	39						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	40						
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	41						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	42						
6	6	20	20	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	43						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	44						
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	45						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	46						
6	6	20	20	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	47						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	48						
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	49						1
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	50						
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	51						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	52						
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	8	6	4	
7	7	24	24	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	53						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	_	5	3	
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	7			
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	54						
7	7	24	24	4.0	0	0	Chord	4/4	2	2	1	1	1	55						
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	56						
8	8	28	28	4.0	0	0	Chord	4/4	1	2	1	1	1	57						
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1	1	1	58						
8	8	28	28	4.0	0	0	Chord	4/4	2	2	1	1	1	59						
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	60						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	61						
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	62						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	63						
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5			
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	64						
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6\			
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	65						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	66						
9	9	32	32	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	67						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	68						
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	69						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	70						
10	10	36	36	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	71						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	72						
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	73						
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	74						
10	10	36	36	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	75						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	76						
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	77						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	78						
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	79						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	80						
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	81						
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6	4	3	
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	82						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	83						
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	84						
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	85						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	86						
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	87						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	88						
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	89						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	90						
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	91						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	92						
12	12	44	44	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	93						
