mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	4.0	1	4/4	1	0						firstMeasure	2
2	2	4	4	4.0	1	4/4	1	0						start	3
3	3	8	8	4.0	1	4/4	1	0							4
4	4	12	12	4.0	1	4/4	1	0							5
5	5	16	16	4.0	1	4/4	1	0							6
6	6	20	20	4.0	1	4/4	1	0							7
7	7	24	24	4.0	1	4/4	1	0							8
8	8	28	28	4.0	1	4/4	1	0							9
9	9	32	32	4.0	1	4/4	1	0							10, 11
10	10		36	4.0	1	4/4	1	0	1					end	2
11	11	36	40	4.0	1	4/4	1	0	2						12
12	12	40	44	4.0	1	4/4	1	0							13
13	13	44	48	4.0	1	4/4	1	0							14
14	14	48	52	4.0	1	4/4	1	0							15
15	15	52	56	4.0	1	4/4	1	0							16
16	16	56	60	4.0	1	4/4	1	0							17
17	17	60	64	4.0	1	4/4	1	0							18
18	18	64	68	4.0	1	4/4	1	0							19
19	19	68	72	4.0	1	4/4	1	0							20
20	20	72	76	4.0	1	4/4	1	0							21
21	21	76	80	4.0	1	4/4	1	0							22
22	22	80	84	4.0	1	4/4	1	0							23
23	23	84	88	4.0	1	4/4	1	0							24
24	24	88	92	4.0	1	4/4	1	0							25
25	25	92	96	4.0	1	4/4	1	0							26
26	26	96	100	4.0	1	4/4	1	0							27
27	27	100	104	4.0	1	4/4	1	0							28
28	28	104	108	4.0	1	4/4	1	0						lastMeasure	-1
