mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	0	4/4	1/2	1/2					firstMeasure	2
2	2	2	4.0	0	4/4	1	0						3
3	3	6	4.0	0	4/4	1	0						4
4	4	10	4.0	0	4/4	1	0						5
5	5	14	4.0	0	4/4	1	0						6
6	6	18	4.0	0	4/4	1	0						7
7	7	22	4.0	0	4/4	1	0						8
8	8	26	4.0	0	4/4	1	0						9
9	9	30	4.0	0	4/4	1	0				line		10
10	10	34	4.0	0	4/4	1	0						11
11	11	38	4.0	0	4/4	1	0						12
12	12	42	4.0	0	4/4	1	0						13
13	13	46	4.0	0	4/4	1	0						14
14	14	50	4.0	0	4/4	1	0						15
15	15	54	4.0	0	4/4	1	0						16
16	16	58	4.0	0	4/4	1	0						17
17	17	62	4.0	0	4/4	1	0						18
18	18	66	4.0	0	4/4	1	0				line		19
19	19	70	4.0	0	4/4	1	0						20
20	20	74	4.0	0	4/4	1	0						21
21	21	78	4.0	0	4/4	1	0						22
22	22	82	4.0	0	4/4	1	0						23
23	23	86	4.0	0	4/4	1	0						24
24	24	90	4.0	0	4/4	1	0						25
25	25	94	4.0	0	4/4	1	0						26
26	26	98	4.0	0	4/4	1	0						27
27	27	102	4.0	0	4/4	1	0				line		28
28	28	106	4.0	0	4/4	1	0						29
29	29	110	4.0	0	4/4	1	0						30
30	30	114	4.0	0	4/4	1	0						31
31	31	118	4.0	0	4/4	1	0						32
32	32	122	4.0	0	4/4	1	0						33
33	33	126	4.0	0	4/4	1	0						34
34	34	130	4.0	0	4/4	1	0						35
35	35	134	4.0	0	4/4	1	0						36
36	36	138	4.0	0	4/4	1	0				line		37
37	37	142	4.0	0	4/4	1	0						38
38	38	146	4.0	0	4/4	1	0						39
39	39	150	4.0	0	4/4	1	0						40
40	40	154	4.0	0	4/4	1	0						41
41	41	158	4.0	0	4/4	1	0						42
42	42	162	4.0	0	4/4	1	0						43
43	43	166	4.0	0	4/4	1	0						44
44	44	170	4.0	0	4/4	1	0				line		45
45	45	174	4.0	0	4/4	1	0						46
46	46	178	4.0	0	4/4	1	0						47
47	47	182	4.0	0	4/4	1	0						48
48	48	186	4.0	0	4/4	1	0						49
49	49	190	4.0	0	4/4	1	0						50
50	50	194	4.0	0	4/4	1	0						51
51	51	198	4.0	0	4/4	1	0						52
52	52	202	4.0	0	4/4	1	0						53
53	53	206	4.0	0	4/4	1	0				line		54
54	54	210	4.0	0	4/4	1	0						55
55	55	214	4.0	0	4/4	1	0						56
56	56	218	4.0	0	4/4	1	0						57
57	57	222	4.0	0	4/4	1	0						58
58	58	226	4.0	0	4/4	1	0						59
59	59	230	4.0	0	4/4	1	0						60
60	60	234	4.0	0	4/4	1	0						61
61	61	238	4.0	0	4/4	1	0						62
62	62	242	4.0	0	4/4	1	0				line		63
63	63	246	4.0	0	4/4	1	0						64
64	64	250	4.0	0	4/4	1	0						65
65	65	254	4.0	0	4/4	1	0						66
66	66	258	4.0	0	4/4	1	0						67
67	67	262	4.0	0	4/4	1	0						68
68	68	266	4.0	0	4/4	1	0						69
69	69	270	4.0	0	4/4	1	0						70
70	70	274	4.0	0	4/4	1	0						71
71	71	278	4.0	0	4/4	1	0				line		72
72	72	282	4.0	0	4/4	1	0						73
73	73	286	4.0	0	4/4	1	0						74
74	74	290	4.0	0	4/4	1	0						75
75	75	294	4.0	0	4/4	1	0						76
76	76	298	4.0	0	4/4	1	0						77
77	77	302	4.0	0	4/4	1	0						78
78	78	306	4.0	0	4/4	1	0						79
79	79	310	4.0	0	4/4	1	0						80
80	80	314	4.0	0	4/4	1	0				line		81
81	81	318	4.0	0	4/4	1	0						82
82	82	322	4.0	0	4/4	1	0						83
83	83	326	4.0	0	4/4	1	0						84
84	84	330	4.0	0	4/4	1	0						85
85	85	334	4.0	0	4/4	1	0						86
86	86	338	4.0	0	4/4	1	0						87
87	87	342	4.0	0	4/4	1	0						88
88	88	346	4.0	0	4/4	1	0						89
89	89	350	4.0	0	4/4	1	0				line		90
90	90	354	4.0	0	4/4	1	0						91
91	91	358	4.0	0	4/4	1	0						92
92	92	362	4.0	0	4/4	1	0						93
93	93	366	4.0	0	4/4	1	0						94
94	94	370	4.0	0	4/4	1	0						95
95	95	374	4.0	0	4/4	1	0						96
96	96	378	4.0	0	4/4	1	0						97
97	97	382	4.0	0	4/4	1	0						98
98	98	386	4.0	0	4/4	1	0				line		99
99	99	390	4.0	0	4/4	1	0						100
100	100	394	4.0	0	4/4	1	0						101
101	101	398	2.0	0	4/4	1/2	0			end			102
102	102	400	2.0	0	4/4	1/2	1/2						103
103	103	402	4.0	0	4/4	1	0						104
104	104	406	4.0	0	4/4	1	0						105
105	105	410	4.0	0	4/4	1	0						106
106	106	414	4.0	0	4/4	1	0						107
107	107	418	4.0	0	4/4	1	0				line		108
108	108	422	4.0	0	4/4	1	0						109
109	109	426	4.0	0	4/4	1	0						110
110	110	430	4.0	0	4/4	1	0						111
111	111	434	4.0	0	4/4	1	0						112
112	112	438	4.0	0	4/4	1	0						113
113	113	442	4.0	0	4/4	1	0						114
114	114	446	4.0	0	4/4	1	0						115
115	115	450	4.0	0	4/4	1	0						116
116	116	454	4.0	0	4/4	1	0				line		117
117	117	458	4.0	0	4/4	1	0						118
118	118	462	4.0	0	4/4	1	0						119
119	119	466	4.0	0	4/4	1	0						120
120	120	470	4.0	0	4/4	1	0						121
121	121	474	4.0	0	4/4	1	0						122
122	122	478	4.0	0	4/4	1	0						123
123	123	482	4.0	0	4/4	1	0						124
124	124	486	4.0	0	4/4	1	0						125
125	125	490	4.0	0	4/4	1	0				line		126
126	126	494	4.0	0	4/4	1	0						127
127	127	498	4.0	0	4/4	1	0						128
128	128	502	4.0	0	4/4	1	0						129
129	129	506	4.0	0	4/4	1	0						130
130	130	510	4.0	0	4/4	1	0						131
