piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_AP1832-001_SID026	1: 4/4	1: 1	22	22	80.0	31	31	112.0		320.0	170	55	0	0	0										2021-01-25	3.02	Microsoft Windows			Ach! dass ich Gottes Weg verliess	AP1832-001 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-001_SID026.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-002a_SID042	1: 4/4	1: -1	21	21	80.0	21	21	80.0		320.0	169	52	0	0	0	Rein	"Ach! wie elend ist unser Zeit
"								2021-02-21		Microsoft Windows			Ach Gott! ruf deinen Richterblick	AP1832-002a	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-002a_SID042.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-003_SID001	1: 4/4	1: -2	17	17	64.0	17	17	64.0		256.0	135	41	0	0	0										2021-01-25	3.02	Microsoft Windows			Ach Gott und Herr	AP1832-003 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-003_SID001.mscz	False	43-74 (G2-D5)	Piano	62-74 (D4-D5)	Piano	43-63 (G2-Eb4)
A-MCAU_AP1832-004_SID002	1: 4/4	1: -2	22	22	80.0	31	31	112.0		320.0	172	54	0	0	0										2021-01-25	3.02	Microsoft Windows			Ach Gott vom Himmel sieh darein	AP1832-004 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-004_SID002.mscz	False	43-74 (G2-D5)	Piano	58-74 (Bb3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-005_SID090	1: 4/4	1: 0	17	17	64.0	17	17	64.0		256.0	145	43	0	0	0										2020-12-22	3.02	Microsoft Windows			Ach wer auf späte Busse hofft	AP1832-005 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-005_SID090.mscz	False	45-74 (A2-D5)	Piano	60-74 (C4-D5)	Piano	45-64 (A2-E4)
A-MCAU_AP1832-006_SID003	1: 4/4	1: -1	24	24	96.0	24	24	96.0		384.0	188	59	0	0	0	Rein	"Ach! wie elend ist unser Zeit
"								2021-02-21		Microsoft Windows			Ach, wie ist der Menschen Liebe	AP1832-006 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-006_SID003.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-007_SID039	1: 4/4	1: -1	17	17	64.0	17	17	64.0		256.0	136	45	0	0	0										2021-01-25	3.02	Microsoft Windows			Ach, wie viel Böses wohn in mir	AP1832-007 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-007_SID039.mscz	False	43-74 (G2-D5)	Piano	60-74 (C4-D5)	Piano	43-65 (G2-F4)
A-MCAU_AP1832-008_SID004	1: 4/4	1: 1	22	22	80.0	31	31	112.0		320.0	170	51	0	0	0										2021-01-25	3.02	Microsoft Windows			Allein Gott in der Höh sey Ehr	AP1832-008 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-008_SID004.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-66 (G2-F#4)
A-MCAU_AP1832-009_SID005	1: 4/4	1: -2	28	28	104.0	37	37	136.0		416.0	224	70	0	0	0										2021-01-25	3.02	Microsoft Windows			Allein zu dir, Herr Jesu Christ	AP1832-009 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-009_SID005.mscz	False	43-75 (G2-Eb5)	Piano	58-75 (Bb3-Eb5)	Piano	43-65 (G2-F4)
A-MCAU_AP1832-010_SID097	1: 4/4	1: 1	28	28	112.0	36	36	144.0	[[[10], [11]]]	448.0	205	64	0	0	0	Rein	"Ach! wie elend ist unser Zeit
"								2021-02-21		Microsoft Windows			Alle Menschen müssen sterben	AP1832-010 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-010_SID097.mscz	False	43-72 (G2-C5)	Piano	57-72 (A3-C5)	Piano	43-64 (G2-E4)
