mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0		0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	7
1	1	0	0	2.0		0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	5
1	1	0	0	2.0		0	0	4/4	1	2	1/2	1/2	1	1	4	64	E4	4	2
1	1	0	0	2.0		0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	0
1	1	2	2	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	8
1	1	2	2	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	6
1	1	2	2	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1	-1	4	64	E4	4	3
1	1	2	2	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	1
1	1	3	3	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	4
2	2	4	4	2.0		0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	15
2	2	4	4	2.0		0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	13
2	2	4	4	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	11
2	2	4	4	2.0		0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	9
2	2	6	6	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		0	48	C3	3	16
2	2	6	6	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	12
2	2	6	6	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	14
2	2	6	6	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	10
3	3	8	8	2.0		0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2	24
3	3	8	8	2.0		0	0	4/4	2	1	1/2	1/2	1		9	63	D#4	4	22
3	3	8	8	2.0		0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	20
3	3	8	8	1.0		0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	17
3	3	9	9	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	18
3	3	10	10	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		0	48	C3	3	25
3	3	10	10	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1	1	4	64	E4	4	21
3	3	10	10	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	23
3	3	10	10	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	19
4	4	12	12	2.0		0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	32
4	4	12	12	2.0		0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	29
4	4	12	12	2.0		0	0	4/4	1	2	1/2	1/2	1	-1	4	64	E4	4	27
4	4	12	12	4.0		0	0	4/4	1	1	1	1	1		6	66	F#4	4	26
4	4	14	14	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	33
4	4	14	14	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	30
4	4	14	14	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	28
4	4	15	15	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	31
5	5	16	16	4.0		0	0	4/4	2	2	1	1	1		4	52	E3	3	37
5	5	16	16	4.0		0	0	4/4	2	1	1	1	1		1	55	G3	3	36
5	5	16	16	4.0		0	0	4/4	1	1	1	1	1		4	64	E4	4	34
5	5	16	16	4.0		0	0	4/4	1	2	1	1	1		4	64	E4	4	35
6	6	20	20	2.0		0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	42
6	6	20	20	2.0		0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	44
6	6	20	20	2.0		0	0	4/4	1	2	1/2	1/2	1		5	59	B3	3	40
6	6	20	20	2.0		0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	38
6	6	22	22	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	45
6	6	22	22	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	43
6	6	22	22	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	41
6	6	22	22	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	39
6	6	23	23	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	46
7	7	24	24	2.0		0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2	54
7	7	24	24	1.0		0	0	4/4	2	1	1/4	1/4	1		9	51	D#3	3	51
7	7	24	24	2.0		0	0	4/4	1	2	1/2	1/2	1		5	59	B3	3	49
7	7	24	24	2.0		0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	47
7	7	25	25	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	52
7	7	26	26	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	55
7	7	26	26	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	53
7	7	26	26	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	50
7	7	26	26	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	48
8	8	28	28	2.0		0	0	4/4	2	2	1/2	1/2	1		6	54	F#3	3	63
8	8	28	28	2.0		0	0	4/4	1	2	1/2	1/2	1		3	57	A3	3	58
8	8	28	28	2.0		0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	60
8	8	28	28	2.0		0	0	4/4	1	1	1/2	1/2	1		9	63	D#4	4	56
8	8	30	30	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	64
8	8	30	30	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	61
8	8	30	30	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	59
8	8	30	30	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	57
8	8	31	31	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	62
9	9	32	32	4.0		0	0	4/4	2	2	1	1	1		5	47	B2	2	68
9	9	32	32	4.0		0	0	4/4	2	1	1	1	1		9	51	D#3	3	67
9	9	32	32	4.0		0	0	4/4	1	2	1	1	1		5	59	B3	3	66
9	9	32	32	4.0		0	0	4/4	1	1	1	1	1		6	66	F#4	4	65
10	10		36	2.0	1	0	0	4/4	2	2	1/2	1/2	1		9	51	D#3	3	75
10	10		36	2.0	1	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	73
10	10		36	2.0	1	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	71
10	10		36	2.0	1	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	69
10	10		38	2.0	1	1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	76
10	10		38	2.0	1	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	74
10	10		38	2.0	1	1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	72
10	10		38	2.0	1	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	70
11	11	36	40	2.0	2	0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2	83
11	11	36	40	2.0	2	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	81
11	11	36	40	2.0	2	0	0	4/4	1	2	1/2	1/2	1		9	63	D#4	4	79
11	11	36	40	2.0	2	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	77
11	11	38	42	2.0	2	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	84
11	11	38	42	2.0	2	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	82
11	11	38	42	2.0	2	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	80
11	11	38	42	2.0	2	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	78
12	12	40	44	2.0		0	0	4/4	2	2	1/2	1/2	1		7	49	C#3	3	92
12	12	40	44	2.0		0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	90
12	12	40	44	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	88
